prompt_id,responses,models,temperatures,mean_output_tokens
AL-01,84,7,3,301.0
AL-02,84,7,3,1122.4375
AL-03,84,7,3,409.3958333333333
AL-04,84,7,3,771.375
AL-05,84,7,3,220.66666666666666
CT-01,84,7,3,957.5
CT-02,84,7,3,894.6875
CT-03,84,7,3,1281.0625
CT-04,84,7,3,1016.3125
CT-05,84,7,3,1013.4166666666666
NM-01,84,7,3,547.2083333333334
NM-02,84,7,3,1248.2916666666667
NM-03,84,7,3,739.5102040816327
NM-04,84,7,3,982.7083333333334
NM-05,84,7,3,1114.734693877551
OD-01,84,7,3,477.8888888888889
OD-02,84,7,3,960.625
OD-03,84,7,3,1058.326923076923
OD-04,84,7,3,1131.54
OD-05,84,7,3,1004.2916666666666
RF-01,84,7,3,285.5
RF-02,84,7,3,408.1458333333333
RF-03,84,7,3,507.9791666666667
RF-04,84,7,3,816.2916666666666
RF-05,84,7,3,882.4583333333334
SD-01,84,7,3,1035.8958333333333
SD-02,84,7,3,1059.9791666666667
SD-03,84,7,3,1376.5416666666667
SD-04,84,7,3,1069.1666666666667
SD-05,84,7,3,1303.5833333333333
